id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
934,Manga Khan (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,30,"1988, June",1988
935,Whit (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,30,"1987, May",1987
936,Vashnu (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Living Characters,30,"1967, October",1967
937,Noddy Toylan (New Earth),Unknown,Unknown or None,Unknown or None,Black Hair,Deceased Characters,30,"1942, June",1942
938,Winky Moylan (New Earth),Unknown,Unknown or None,Unknown or None,Brown Hair,Deceased Characters,30,"1942, June",1942
939,Blinky Boylan (New Earth),Unknown,Unknown or None,Unknown or None,Red Hair,Deceased Characters,30,"1942, June",1942
940,Amon Sur (New Earth),Public Identity,Unknown or None,White Eyes,Unknown or None,Deceased Characters,30,"2003, June",2003
941,Thaddeus Thawne II (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Blond Hair,Deceased Characters,30,"1999, July",1999
942,Heinrich Megala (New Earth),Public Identity,Good Characters,Black Eyes,Red Hair,Deceased Characters,29,"1987, March",1987
943,Amentep (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,29,"1940, February",1940
944,Medphyll (New Earth),Secret Identity,Unknown or None,Black Eyes,Unknown or None,Deceased Characters,29,"1962, March",1962
945,Nekron (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,29,"1981, June",1981
946,Marcus Aelius (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"1994, September",1994
947,Remoni-Notra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,29,"1976, June",1976
948,Brian Durlin (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"2003, August",2003
949,Natalia Knight (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,29,"1983, August",1983
950,Alberto Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
951,Bianca Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
952,Jamie Harper (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
953,"Pedro, Ghost Patrol (New Earth)",Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,29,"1942, May",1942
954,Hacken (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,29,"1996, April",1996
955,Edmund Dorrance (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,29,"1991, January",1991
956,Angelo Bend (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,29,"2002, May",2002
957,Barbara Eileen Gordon (New Earth),Public Identity,Good Characters,Hazel Eyes,Red Hair,Living Characters,29,"1987, February",1987
958,Key (New Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Living Characters,29,"1965, December",1965
959,John Trujillo (New Earth),Secret Identity,Good Characters,Red Eyes,Black Hair,Living Characters,29,"2006, November",2006
960,Renata Takamori (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,29,"1988, October",1988
961,John Economos (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,29,"1987, May",1987
962,Lorna Hill (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,29,"1967, October",1967
963,Celia Windward (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,29,"1988, January",1988
964,Denise Howard (New Earth),Public Identity,Unknown or None,Unknown or None,Brown Hair,Living Characters,29,"1984, April",1984
965,Benjamin Krullen (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,29,"1988, July",1988
966,Gregorio de la Vega (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,29,"1988, January",1988
967,Joseph Carny (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,29,"1982, June",1982
968,Clarice Winston (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,29,"1940, February",1940
969,Arnold Burnsteel (New Earth),Public Identity,Good Characters,White Eyes,Black Hair,Living Characters,29,"1994, November",1994
970,Romat-Ru (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,28,"2007, August",2007
971,Ghast (New Earth),Unknown,Bad Characters,Black Eyes,Black Hair,Living Characters,28,"1962, March",1962
972,Virman Vundabar (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1971, December",1971
973,Bonny Hoffman (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,28,"1997, May",1997
974,Lyrissa Mallor (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,28,"1989, February",1989
975,Zazzala (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1963, November",1963
976,Matthew Hagen (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,28,"1961, December",1961
977,Candace Jean Gennaro (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,28,"2002, February",2002
978,Hope Taya (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,28,"1999, December",1999
979,Salvatore Maroni (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,28,"1942, August",1942
980,Deborah Tiegel (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1994, March",1994
981,Star Hawkins (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1960, March",1960
982,Ravan (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1987, May",1987
983,Celia Forrestal (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"2002, February",2002
984,Gary Washington (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1985, December",1985
985,Steven Lombard (New Earth),Public Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,28,"1989, October",1989
986,Lagoon Boy (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,28,"1998, December",1998
987,Deimos (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,28,"1975, November",1975
988,Avery Carlton Sunderland (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Deceased Characters,28,"1982, October",1982
989,Thorndyke Thompkins (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,28,"1940, November",1940
990,Dabney Donovan (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,28,"1990, June",1990
991,Cassius Payne (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,28,"1994, May",1994
992,"Slim, Ghost Patrol (New Earth)",Secret Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,28,"1942, May",1942
993,Bertron Diib (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,28,"1991, August",1991
994,Hugh Hazzard (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,28,"1939, August",1939
995,Gehenna (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Deceased Characters,28,"2005, November",2005
996,Jack Jordan (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,28,"1961, December",1961
997,Robin Hood (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,28,"1938, January",1938
998,Susan Linden I (New Earth),Secret Identity,Good Characters,Violet Eyes,Violet Hair,Deceased Characters,28,"1973, August",1973
999,Torquemada (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,28,"1993, March",1993
